1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,target
115.2548335,931,39.61805503,29.81035701,16.15550467,0.880726877,0.788296055,0.752443728,14.26818113,34,39,0.777928604,2.635503744,5.549015517,7.192724144,13.61541944,8.54391504,13.90009713,623388,219.7312839,16746,102678,9010883.153,253311308,8711573.153,173.6724313,57.99491353,158.7894201,25.98110517,31.47527206,25.19267381,26.11291963,173.1912513,173.6724313,0.824637113,36.70661285,25.98110517,165.5167854,121.7324517,179.6388606,24.23002419,1.552943188,7.751139156,4
105.5979791,764,34.69695199,27.28584616,14.46997389,0.86097791,0.806983411,0.786404701,14.59546228,33,36,0.78012454,2.736203115,5.233572558,7.974588733,14.61250832,9.378298377,14.99903795,720976,255.3541176,16320,119116,7915048.105,316254140,7603627.105,177.9187192,68.15640394,160.0295567,23.90546435,24.50930096,21.76608998,25.11083744,159.1305419,177.9187192,0.916477938,26.17062624,23.90546435,167.6600985,123.4211823,176.6748768,21.28276052,1.408959572,6.680993507,4
110.4264058,854,37.61380199,30.67093704,15.46731498,0.880079411,0.740258823,0.815417092,14.2786781,34,37,0.78566645,2.888797406,4.567520525,6.472000249,12.21521098,7.984040418,12.08777492,619708,227.1913534,16472,88687,6962473.026,175196693,6657708.026,168.7278761,76.20132743,143.5365044,22.8964352,23.56710806,21.36557056,21.68473451,140.9634956,168.7278761,1.645303498,26.34257371,22.8964352,154.3163717,129.0243363,166.7356195,20.91929069,1.852845397,7.569428867,4
99.35533857,700.5,31.51300274,27.70988221,14.10090308,0.891734539,0.802201875,0.879315832,14.09205325,33,35,0.791407508,3.30924188,4.7488291,7.295312038,13.54702877,8.95242719,13.41002657,591634,224.995029,13924,79143,6424583.426,186267221,6130974.426,171.4932976,74.47855228,149.2479893,25.19070604,27.81869096,24.19389732,23.0924933,146.5831099,171.4932976,0.963557112,27.87936833,25.19070604,158.7922252,126.9678284,169.7453083,23.53768284,1.45127654,7.108467233,4
105.8406197,789.5,35.21985065,28.55087711,14.91865793,0.885640056,0.785136504,0.810647308,14.18902695,34,36,0.78774265,2.960282726,5.576308631,7.48928096,15.12440539,9.549356945,14.02343549,678904,251.034749,18542,126149,7487533.564,241189275,7178419.564,166.7825568,70.50537634,153.1648746,29.01098596,50.21841454,28.45922374,24.9223417,154.6678614,166.7825568,3.655726953,54.02019253,29.01098596,160.4133811,123.041816,171.2568698,27.72076522,4.099353978,13.90554298,4
114.4264059,885,39.73690246,27.93940123,15.46845753,0.849377242,0.797135528,0.703109692,14.79480494,39,34,0.768807579,2.47442997,4.953948598,6.528687303,12.82401369,9.012078631,12.28763508,1121302,246.433315,21232,131919,8437446.94,223501829,8026150.94,166.2572038,72.29562433,154.1846318,30.18390826,48.98998125,29.68538441,25.66168623,151.5101387,166.2572038,2.658378056,55.48942185,30.18390826,160.9626467,122.3745998,170.5592316,28.92008074,3.341711976,13.23746513,4
107.2548331,812,36.60512567,28.60995692,15.14150881,0.887017423,0.77534845,0.781583355,14.16699412,35,36,0.7851263,2.854043061,6.145916537,7.904720001,14.97854297,9.356630899,15.27932459,845160,283.3757137,16686,115302,9382908.048,330040968,9037262.048,181.2755814,65.88837209,169.8174419,25.08612345,20.38989957,23.86756918,27.04302326,162.7174419,181.2755814,0.688280753,22.73723353,25.08612345,175.0755814,119.5337209,180.9383721,22.66556879,1.478537183,8.012035548,4
105.5979789,793,34.20033947,28.90835914,15.01922684,0.893659011,0.802083032,0.845265269,14.06170638,34,36,0.789551145,3.09301651,4.989387799,7.513839264,13.76724257,9.070626061,14.8083247,695566,247.9678809,15872,89404,8451380.949,209311348,8136568.949,177.255648,66.00832342,162.8608799,26.13379177,28.7834785,25.18820296,26.07966706,162.4102259,177.255648,0.906878397,30.16954611,26.13379177,169.3543401,121.5445898,178.2699168,24.10249632,1.644570168,7.781478123,4
100.1837652,716.5,31.84105793,27.76141694,14.30371475,0.897080382,0.810563563,0.871874829,14.00807649,33,35,0.791692132,3.261779744,4.903308711,7.169457575,13.33945354,9.108395756,13.37468541,659840,222.3995098,15688,104142,7071108.049,247689634,6772459.049,163.4370079,87.81364829,156.8713911,26.27697905,38.18733245,24.58547136,26.97112861,122.2125984,163.4711286,2.965984947,39.48150767,26.2470062,162.7217848,120.7821522,164.496063,24.26075048,3.504746925,10.96812898,4
107.5979788,814,35.30556843,27.52299713,15.13039574,0.883539646,0.837694129,0.779565331,14.22275804,33,37,0.782848846,2.782233995,5.691904763,7.931987271,16.07813764,10.32338771,14.74439974,654468,228.2647059,18076,114809,8195689.87,210351365,7900861.87,173.9698725,73.13325608,157.3128621,26.8037202,37.91913203,26.45719618,24.66164542,150.0463499,173.9698725,1.847362112,44.05090474,26.8037202,164.9895713,123.9073001,172.6674392,25.37375096,2.077463917,12.84697146,4
